ward,date_diff,case_status
3,1000,Closed
8,9003000,Closed
3,74073000,Closed
16,37912000,Closed
16,41914000,Closed
5,53872000,Closed
18,1000,Closed
22,4000,Closed
10,1000,Closed
20,1000,Closed
20,91972000,Closed
13,1459958000,Closed
22,324173000,Closed
20,1000,Closed
20,531885000,Closed
17,1000,Closed
19,1000,Closed
8,2000,Closed
5,87712000,Closed
18,1000,Closed
17,3117000,Closed
17,70943000,Closed
19,10390000,Closed
22,272000,Closed
21,2000,Closed
16,4237000,Closed
18,132000,Closed
17,6410000,Closed
3,88249000,Closed
7,3947000,Closed
12,65557000,Closed
9,100237000,Closed
18,1000,Closed
19,2000,Closed
22,450000,Closed
5,3258000,Closed
22,5000,Closed
19,2000,Closed
8,2000,Closed
19,1000,Closed
5,973000,Closed
9,149955000,Closed
18,18793000,Closed
22,745635000,Closed
14,1000,Closed
16,1000,Closed
16,73298000,Closed
19,1000,Closed
19,3000,Closed
18,88897000,Closed
1,619000,Closed
3,153978000,Closed
14,108826000,Closed
12,91453000,Closed
14,8305193000,Closed
22,2000,Closed
20,87122000,Closed
17,76276000,Closed
14,1000,Closed
6,5534000,Closed
3,69257000,Closed
4,62115000,Closed
4,76538000,Closed
21,1000,Closed
18,1000,Closed
8,46734000,Closed
5,2577636000,Closed
1,155221000,Closed
21,497905000,Closed
3,64371000,Closed
20,1000,Closed
4,252170000,Closed
5,352505000,Closed
6,1000,Closed
2,429983000,Closed
3,62000,Closed
20,93445000,Closed
3,23583000,Closed
6,1000,Closed
4,60733000,Closed
7,6926815000,Closed
3,294000,Closed
8,162926000,Closed
11,529878000,Closed
20,2000,Closed
3,78565000,Closed
18,85159000,Closed
22,176000,Closed
16,161497000,Closed
18,1000,Closed
4,1730399000,Closed
8,26047000,Closed
6,241555000,Closed
5,76466000,Closed
18,1000,Closed
18,71493000,Closed
7,281361000,Closed
18,85733000,Closed
20,1000,Closed
18,375000,Closed
18,82526000,Closed
4,256530000,Closed
5,497933000,Closed
15,31706687000,Closed
8,98397000,Closed
1,1000,Closed
3,2661845000,Closed
5,439916000,Closed
21,52000,Closed
14,1017938000,Closed
18,2397000,Closed
18,11058000,Closed
16,150702000,Closed
5,505105000,Closed
18,1000,Closed
5,524198000,Closed
20,2000,Closed
6,3496000,Closed
3,107354000,Closed
18,1000,Closed
