ward,source,date_diff,case_status,
3,City Worker App,1000.0,Closed,
8,City Worker App,9003000.0,Closed,
3,Citizens Connect App,74073000.0,Closed,
16,City Worker App,37912000.0,Closed,
16,Citizens Connect App,41914000.0,Closed,
5,Citizens Connect App,53872000.0,Closed,
18,Employee Generated,1000.0,Closed,
22,City Worker App,4000.0,Closed,
10,Employee Generated,1000.0,Closed,
20,Employee Generated,1000.0,Closed,
20,City Worker App,91972000.0,Closed,
13,Citizens Connect App,1459958000.0,Closed,
22,Constituent Call,324173000.0,Closed,
20,Employee Generated,1000.0,Closed,
20,City Worker App,531885000.0,Closed,
17,Employee Generated,1000.0,Closed,
19,Employee Generated,1000.0,Closed,
8,Employee Generated,2000.0,Closed,
5,Citizens Connect App,87712000.0,Closed,
18,Employee Generated,1000.0,Closed,
17,City Worker App,3117000.0,Closed,
17,Citizens Connect App,70943000.0,Closed,
19,City Worker App,10390000.0,Closed,
22,City Worker App,272000.0,Closed,
21,City Worker App,2000.0,Closed,
16,City Worker App,4237000.0,Closed,
18,City Worker App,132000.0,Closed,
17,City Worker App,6410000.0,Closed,
3,Constituent Call,88249000.0,Closed,
7,City Worker App,3947000.0,Closed,
12,Constituent Call,65557000.0,Closed,
9,City Worker App,100237000.0,Closed,
18,Employee Generated,1000.0,Closed,
19,Employee Generated,2000.0,Closed,
22,Citizens Connect App,450000.0,Closed,
5,City Worker App,3258000.0,Closed,
22,City Worker App,5000.0,Closed,
19,Employee Generated,2000.0,Closed,
8,City Worker App,2000.0,Closed,
19,Employee Generated,1000.0,Closed,
5,Self Service,973000.0,Closed,
9,Citizens Connect App,149955000.0,Closed,
18,City Worker App,18793000.0,Closed,
22,Citizens Connect App,745635000.0,Closed,
14,Employee Generated,1000.0,Closed,
16,Employee Generated,1000.0,Closed,
16,Constituent Call,73298000.0,Closed,
19,Employee Generated,1000.0,Closed,
19,Employee Generated,3000.0,Closed,
18,City Worker App,88897000.0,Closed,
1,City Worker App,619000.0,Closed,
3,Constituent Call,153978000.0,Closed,
14,Constituent Call,108826000.0,Closed,
12,City Worker App,91453000.0,Closed,
14,City Worker App,8305193000.0,Closed,
22,City Worker App,2000.0,Closed,
20,City Worker App,87122000.0,Closed,
17,Constituent Call,76276000.0,Closed,
14,Employee Generated,1000.0,Closed,
6,Constituent Call,5534000.0,Closed,
3,City Worker App,69257000.0,Closed,
4,Constituent Call,62115000.0,Closed,
4,Citizens Connect App,76538000.0,Closed,
21,City Worker App,1000.0,Closed,
18,City Worker App,1000.0,Closed,
8,Self Service,46734000.0,Closed,
5,Constituent Call,2577636000.0,Closed,
1,Constituent Call,155221000.0,Closed,
21,Citizens Connect App,497905000.0,Closed,
3,City Worker App,64371000.0,Closed,
20,Employee Generated,1000.0,Closed,
4,Constituent Call,252170000.0,Closed,
5,Citizens Connect App,352505000.0,Closed,
6,Employee Generated,1000.0,Closed,
2,Citizens Connect App,429983000.0,Closed,
3,Constituent Call,62000.0,Closed,
20,City Worker App,93445000.0,Closed,
3,Employee Generated,23583000.0,Closed,
6,Employee Generated,1000.0,Closed,
4,Citizens Connect App,60733000.0,Closed,
7,Citizens Connect App,6926815000.0,Closed,
3,City Worker App,294000.0,Closed,
8,City Worker App,162926000.0,Closed,
11,Self Service,529878000.0,Closed,
20,City Worker App,2000.0,Closed,
3,City Worker App,78565000.0,Closed,
18,Self Service,85159000.0,Closed,
22,City Worker App,176000.0,Closed,
16,City Worker App,161497000.0,Closed,
18,Employee Generated,1000.0,Closed,
4,Constituent Call,1730399000.0,Closed,
8,City Worker App,26047000.0,Closed,
6,Citizens Connect App,241555000.0,Closed,
5,City Worker App,76466000.0,Closed,
18,Employee Generated,1000.0,Closed,
18,City Worker App,71493000.0,Closed,
7,Citizens Connect App,281361000.0,Closed,
18,City Worker App,85733000.0,Closed,
20,Employee Generated,1000.0,Closed,
18,City Worker App,375000.0,Closed,
18,City Worker App,82526000.0,Closed,
4,Self Service,256530000.0,Closed,
5,Constituent Call,497933000.0,Closed,
15,City Worker App,31706687000.0,Closed,
8,Citizens Connect App,98397000.0,Closed,
1,Employee Generated,1000.0,Closed,
3,Citizens Connect App,2661845000.0,Closed,
5,Constituent Call,439916000.0,Closed,
21,City Worker App,52000.0,Closed,
14,Citizens Connect App,1017938000.0,Closed,
18,City Worker App,2397000.0,Closed,
18,City Worker App,11058000.0,Closed,
16,City Worker App,150702000.0,Closed,
5,Citizens Connect App,505105000.0,Closed,
18,Employee Generated,1000.0,Closed,
5,Citizens Connect App,524198000.0,Closed,
20,Employee Generated,2000.0,Closed,
6,Citizens Connect App,3496000.0,Closed,
3,City Worker App,107354000.0,Closed,
18,Employee Generated,1000.0,Closed,
1,Employee Generated,1000.0,Closed,
11,City Worker App,17661000.0,Closed,
3,Citizens Connect App,308223000.0,Closed,
3,Employee Generated,3000.0,Closed,
19,Employee Generated,1000.0,Closed,
13,Employee Generated,1000.0,Closed,
21,Employee Generated,1000.0,Closed,
